서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
국내 물류센터 이용 지원,국내 물류센터 활수조 이용에 소요되는 경비 지원,별도 공고기한내,한국수산무역협회 수출부/02-6300-8704,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['수산물 수출', '물류센터', '지원', '경비', '개인', '단체']"
해외 공동물류센터 이용 지원,"활수조, 냉동·냉장·상온 창고 보관 및 입출고료, 내륙운송료 등 지원",별도 공고기한내,한국농수 산식품유통공사 수산임산수출부/061-931-0851,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://global.at.or.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['수산물', '냉동창고', '냉장창고', '상온창고', '내륙운송료']"
리스크안전망 구축,"환변동, 미수금, 신용보증, 신용조사 등 리스크에 대한 안전망 구축 소요 경비 지원",별도 공고기한내,한국수산무역협회 수출부/02-6300-8704,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,○ 수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['창업지원', '대출', '신용보증', '신용조사', '수산물 수출', '개인', '단체']"
수산식품 선도조직 육성,"품목별 선도조직 구성 및 규모화, 공동 무역현안 대응, 마케팅, 상품 포장 개선, 안전성검사, 전문 인력 양성, 관리·운영비용 등 지원",별도 공고기한내,한국농수산식품유통공사 수산사업단/061-931-0853,온라인 서류제출,한국농수산식품유통공사,현금,수산물수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://global.at.or.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['창업지원', '수산물수출', '마케팅', '전문인력양성', '무역현안대응']"
수산식품 유망상품화,수산물의 고부가가치화를 위한 유망상품 개발 및 마케팅 등에 필요한 비용 지원,별도 공고기한내,수협중앙회 무역사업단/02-2240-5602,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,지원신청서 및 증빙서류 등,"['수산물', '수출', '유망상품', '고부가가치화', '개발', '마케팅']"
수산식품 기업 바우처,"글로벌 수산식품 수출 기업 육성을 위해 컨설팅, 상품개발, 해외 마케팅 등에 필요한 비용 지원",별도 공고기한내,한국농수산식품유통공사 수산사업단/061-931-0852,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://global.at.or.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['창업지원', '대출', '수산물', '글로벌', '수출', '기업육성']"
수산식품 국제인증 지원,"할랄, 코셔, MSC, ASC, Global GAP 등 수산식품의 경쟁력 강화에 도움이 되는 국제인증 취득 소요경비 지원",별도 공고기한내,한국수산회 수출지원팀/02-589-4624,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,지원신청서 및 증빙서류 등,"['수산물 수출', '국제인증', '할랄', '코셔', 'MSC', 'ASC']"
수산식품 무역지원센터,"수산기업 해외 거래선 발굴, 현지 인큐베이팅 및 지사화, 무역애로해소 등 지원",별도 공고기한내,수협중앙회 무역사업단/02-2240-5610,온라인 신청,,기타,수산물 수출 관련 개인 또는 단체,○ 수산식품 수출 지정기관,http://biz.k-seafoodtrade.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['수산물 수출', '해외 거래선', '무역애로해소', '지사화', '인큐베이팅']"
국제수산식품박람회,"부스임차료, 기본비품(진열대, 상담테이블 등), 전시품 운송·통관비, 통역비 등 박람회 참가 및 한국관 운영에 필요한 소요경비 지원",별도 공고기한내,수협중앙회 무역사업단/02-2240-5602,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['수산물 수출', '박람회', '지원대상', '부스임차료', '한국관 운영', '소요경비']"
수산식품 가공설비 지원,수산식품 안전에 필요한 품질관리 및 생산성 제고를 위해 필요한 기기 개선비용 지원,별도 공고기한내,해당 지자체/044-200-5486,해당 지자체 서류제출,,현금,수산식품을 가공생산하는 개인 또는 단체,수산식품을 가공생산하는 개인 또는 단체 선착순 또는 공모,,지원신청서 및 증빙서류 등,"['창업지원', '대출', '수산식품', '가공설비', '생산성', '품질관리']"
활어컨테이너 제작 지원,활어 무역에 필요한 특수컨테이너 제작비용 지원,별도 공고기한내,경상남도 해양항만과/055-211-3933,해당 지자체 서류제출,시·군·구청,현금,수산물 수출 관련 개인 또는 단체,사업수행 조건을 갖춘 수산물 수출 관련 개인 또는 단체,,지원신청서 및 증빙서류 등,"['창업지원', '대출', '수산물', '수출', '컨테이너', '지원']"
원양어선원 해외묘지 관리 및 국내이장 지원,"○ 노후 선원묘역․묘비 개보수, 국내 이장 지원, 사업신청 홍보 등",모집기간 별도공고,원양산업협회/02-589-1611,우편접수(서울특별시 서초구 논현로 83 한국원양산업협회),한국원양산업협회,기타,○ 해외선원묘지,○ 이장대상자의 정보 확인,,"○ 신청인 제출서류
- 이장 대상자 확인 서류","['해외선원묘지', '국내이장지원', '선원묘역', '이장지원', '노후선원', '묘비개보수', '사업신청홍보']"
러시아감독관 승선선박 경비 지원,○ 한러 어업위원회 합의사항에 따른 러시아 수역 입어 조업선의 안전조업 및 준법조업 등 지원,모집기간 별도공고,수협중앙회/044-200-5364,우편 접수(서울특별시 송파구 오금로 62 수협중앙회 수산경제연구원),수협중앙회 수산경제연구원,현금,"○ 한·러 어업협상시 양국 우호협력 관계를 고려하여, 러시아 수역에 입어하는 오징어채낚기 어선 조업감시를 위해 감독관 승선 선박운항 경비 일부를 지원, 어선의 안정적 조업 도모",○ 러시아 수역 입어선,,"○ 신청인 제출서류
- 사업계획서","['어업협상', '감독관', '선박경비', '조업도모', '어업위원회']"
수산장비 임대,○ 지자체에 크레인 등 고가의 수산장비 구입·제작 비용을 50% 지원하고 위탁사업자에 의해 어업인에게 수산장비 임대,자세한 날짜는 시군구청에 따라 다를 수 있음,경기도 해양수산과/031-8008-4797||전북특별자치도 수산정책과/063-280-2673||전라남도 친환경수산과/061-268-6992||경상북도 어업기술지원과/054-240-0324||경상남도 수산정책과/055-211-4015||제주특별자치도 수산정책과/064-710-3212||인천광역시 수산기술지원센터/032-458-7462,시군구청에 방문하여 신청,시·군·구청,현금(융자),○ 어업경영체 등록을 한 어업생산자(어업인·영어조합법인) 및 수협(수협어업권이 있는 경우) 등,○ 사업계획을 수립하고 사업추진에 필요한 지방비를 적기에 확보 및 집행할 수 있어야 함,,"사업신청서, 사업계획서","['어업생산자', '수협', '수산장비 임대', '지자체 지원', '고가장비', '50% 지원', '위탁사업자']"
선원복지고용센터 운영,"○ 지원대상에 포함되는 복지사업별 수혜자 지원내용
- 한국 선원복지 고용센터 홈페이지에서 안내",사업공고에 따름,한국선원복지고용센터 복지사업부/051-996-3645,"○ 지원대상에 포함되는 복지사업별 수혜 신청절차 및 방법
- 한국 선원복지 고용센터 홈페이지에서 안내",한국선원복지고용센터,현금,"○ 아래 복지사업별 지원기준을 충족하는 선원과 그 직계가족
- 선원 휴양콘도 운영, 선원가족 장학사업, 선원 무료법률구조사업, 장해 선원 재활 지원사업, 원양어선원가족 현지방문사업, 선원 교통편의시설운영사업, 선원회관운영사업","○ 지원대상에 포함되는 복지사업별 수혜자 선정기준
- 한국 선원복지 고용센터 홈페이지에서 확인 가능",http://www.koswec.or.kr,"○ 지원대상에 포함되는 복지사업별 수혜 신청 구비서류
- 한국 선원복지 고용센터 홈페이지에서 안내","['장애인', '저소득층', '선원', '복지사업', '가족지원', '법률구조', '교통편의시설']"
수산식품 무역상담회,"수산식품 수출을 위한 현지 바이어 발굴 및 매칭, 무역상담 참가 비용 등 지원",별도 공고기한내,수협중앙회 무역사업단/02-2240-5604,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['수산물 수출', '바이어 발굴', '무역상담', '수출 지원', '무역 비용']"
수산물통합마케팅,"온오프라인 B2B·B2C 홍보 판촉 행사, 해외 온라인 K씨푸드관 입점 판매, 홍보 콘텐츠 제작 등 한국 수산식품 해외 마케팅 지원",별도 공고기한내,한국수산회 수출지원팀/02-589-4645,온라인 서류제출,,현금,수산물 수출 관련 개인 또는 단체,수산물 수출 관련 개인 또는 단체 선착순 또는 공모,http://biz.k-seafoodtrade.kr,"ㅇ 신청인 제출서류
- 지원신청서 및 증빙서류 등
ㅇ 신청인 미제출서류
- 해당없음","['수산물', '수출', '해외마케팅', 'B2B', 'B2C', '홍보', 'K씨푸드관']"
이동수리소 운영,당해 연도 1인당 1회 20만원 이내에서 지원이 가능하고 이를 초과한 금액은 수요자가 부담함,수시,부산 수산자원연구소/051)209-0935||인천 수산기술지원센터/032)458-7464||울산 해양수산과/052)229-2984||경기 수산자원연구소/031)8008-8358||강원 어업진흥과/033)660-8329||충남 자원연구소/041)635-7862||전북 기술연구소/063)290-6960||전남 해양수산과학원/061)550-0656||경북 어업기술지원과/054)240-0324||경남 수산안전기술원/055)254-3543||제주 수산정책과/064)710-3297,방문(각 지자체의 수산사무소),시·군·구청,현물,도서ㆍ벽지(내수면 포함)등 육상의 수리업체와 멀리 떨어져 있어 어업용 기자재의 정기점검ㆍ수리 등이 어려운 어촌지역 어업인,어업인(어업경영체 등록 어업인),,해당없음,"['어촌지역', '수리업체', '어업용 기자재', '정기점검', '20만원', '수요자 부담']"
해외진출 및 협상전문관 지원,○ 전문인력 육성 및 국제수산·통상 협상 대응 지원,별도 공고기한 내,해양수산부 국제협력총괄과/044-200-5338,우편(세종특별자치시 다솜2로 94 해양수산부 국제협력총괄과),,기타,○ 한국원양산업협회 산하 해외수산협력센터 국제협상전문관,지원대상과 동일,,해당없음,"['해외진출', '협상전문관', '수산산업', '국제협상', '전문인력', '육성', '통상협상']"
원양산업 통계조사,"○ 원양산업 현황, 경영실태 등을 종합적으로 조사하여 원양산업 정책의 기초자료로 활용",접수기관 별 상이,해양수산부 원양산업과/044-200-5367,"우편, 이메일 등 : 해외수산협협력센터",한국원양산업협회,현금,○ (특)한국원양산업협회 소속 해외수산협력센터,○ (특)한국원양산업협회 소속 해외수산협력센터,,해당없음,"['원양산업', '통계조사', '해외수산협력센터', '정책기초자료']"
청년어촌정착지원,"○ 만 40세 미만 어업경영 3년 이하의 수산업 경영인(예정자 포함)에게 월 최대 110만원 지원
- 1년차 : 110만원
- 2년차 : 100만원
- 3년차 : 90만원",만 40세 미만 어업경영 3년 이하까지 신청,해양수산부 어촌어항과/044-200-5663,시군구청에 방문하여 신청,시·군·구청,현금,"○ 연령 : 사업 시행연도 기준 만 18세 이상 ~ 만 40세 미만
○ 거주지 : 어업경영기반 해당 시군구에 실제 거주(주민등록 포함)
○ 어업경영 경력 : 만 40세 미만 수산업 경영 3년 이하의 수산업 경영인(예정자 포함)
○ 병역 : 병역필 또는 병역면제자",○ 만 40세 미만 어업경영 3년 이하의 수산업 경영인(예정자 포함) 중 시·도지사(시장·군수·구청장)가 자격·요건 및 사업계획서 등을 평가하여 대상자로 선정한 자,,"청년어촌정착지원 사업신청서, 사업계획서, 개인정보 동의서, 수산업 관련 서류, 가족관계증명서, 수산업 관련 교육 이수증 등","['청년', '어촌정착지원', '수산업', '지원대상', '저소득층', '대출', '신혼부부']"
해양문화행사 및 해양영토 대장정,"○ (해양문화체험프로그램) 해양영토(바닷길, 해양관련 시설 등) 방문(공모 선정)",수시,한국해양재단/02-741-5278,온라인(한국해양재단 홈페이지) 및 오프라인 접수 가능,한국해양재단,기타,"○ 초, 중, 고등학생 및 대학생, 일반인",○ 참가신청서를 제출받아 외부전문가 심사(민간위원 5명 내외)를 통해 사업 수혜자를 선정,http://www.ocean.or.kr,"(해양문화나눔)
-신청인 제출서류: 기초생활수급증명서 등 사회적 배려층 확인 자료 및 기관 추천 공문
- 담당자 확인서류: 기관 추천공문
(해양문화대장정)
- 신청인 제출서류: 자기소개서, 참가자격 재학여부 확인 증명서 및 가점 관련 서류(국가유공자 후손, 사회적 배려층 관련 서류 등)
- 담당자 확인서류: 자기소개서, 참가자격 재학여부 확인 증명서 및 가점 관련 서류(국가유공자 후손, 사회적 배려층 관련 서류 등)","['청년', '주거안정', '창업지원', '대출', '신혼부부']"
조건불리지역 직접지불제,"연간 어가당 조건불리직불금 80만원 지급
- 80%는 어가에 지급
- 20%는 마을공동기금으로 적립",시군구별로 신청기한은 변경될 수 있으므로 공고 참조,해양수산과 수산직불제팀/044-200-5454,지급약정신청서 및 증빙서류를 구비하여 마을공동운영위원회에 제출,시·군·구청,현금,조건불리지역(도서 및 접경지역)에 거주하는 어업인(어업경영체 등록),"조건불리지역(도서 및 접경지역)에 거주하는 어업인(어업경영체 등록)으로
1. 어업경영을 통한 수산물 연간 판매액 120만원 이상이거나
2. 1년중 60일 이상 어업에 종사한",https://www.gov.kr/mw/AA040OfferMainFrm.do?capp_biz_cd=PG4CG100004&amp;HighCtgCD=&amp;FAX_TYPE=&amp;img=02,"조건불리지역 지급약정신청서, 공익의무 관련 교육 수료증 외 지자체에서 수급자격요건을 증빙할 수 있는 서류","['조건불리지역', '어업인', '어가당', '직불금', '마을공동기금']"
수산업경영인육성사업,"ㅇ 수산업경영인으로 선정된 사람에게 최대 5억원 융자지원해주고 이자의 일부를 정부에서 지원
(융자금 2~5억원, 연리 1~1.5%, 상환기간 10~20년)
-(어업인후계자) 최대 5억원, 연리 1.5%, 5년 거치 20년 균분상환
-(우수경영인) 추가 2억원, 연리 1%, 5년 거치 10년 균분상환",시도별 신청기한은 변동될 수 있으므로 공고 참고,해양수산부 소득복지과/044-200-5464||부산 수산자원연구소/051-209-0934||인천 수산기술지원센터/032-458-7467||울산시청/051-229-3021||경기 해양수산자원연구소/031-8008-8356||강원도청/033-660-8356||충북 내수면연구소/043-200-6502||충남 수산자원연구소/041-635-7857||전북 수산기술연구소/063-290-6947||전남 해양수산과학원/061-550-0651||경북 어업기술센터/054-240-2131||경남 수산안전기술원/055-254-3523||제주도청/064-710-3215,시도 수산사무소로 신청,각 시도 수산사무소 등,현금(융자),ㅇ시도에서 수산업경영인으로 선정한 사람,ㅇ시도에서 수산업경영인으로 선정한 사람,,"수산업경영인 신청서 및 사업계획서
건강보험 자격득실확인서
신용조사서
어업경영체등록증
어업허가증 등
(그 외 시도에서 요청한 증빙 서류)","['수산업경영인', '융자지원', '어업인후계자', '우수경영인', '대출']"
e-Nav 선박단말기 구매비용 지원,지능형 해상교통정보서비스 단말기(e-Nav 선박 단말기) 구매비용 일부 지원,상시신청,한국해양교통안전공단/044-330-2331,"ㅇ 신청방법 : 바다내비 통합안내창구(1877-4145), 한국해양교통안전공단(해양안전실, 각 지부), 단말기 제조사로 ""바다내비 단말기 보급사업"" 신청","바다내비 통합안내창구(1877-4145), 한국해양교통안전공단(해양안전실, 각 지부), 단말기 제조사",현금,"ㅇ 어 선 : 선령 및 톤수제한 없음(원양, 내수면 종사 어선 제외)
ㅇ 비어선 : 선령 및 톤수제한 없음(선박법에 따라 등록된 선박에 한함)","ㅇ 지원대상 다음의 어느 하나에 해당할 경우 선정 제외
- 선박법 및 어선법 등 관계법령을 위반하여 과징금, 과태료 등을 납부하지 않은 자
- 선박법 및 어선법 등 관계법령을 위반하여 행정처분이 완료되지 않은 선박
- 선박(어선) 검사증서 유효기간이 지난 선박(어선) 또는 관계법령(선박안전법, 어선법 등)에 따라 계선한 선박",,"ㅇ 어 선 : 선박국적증서, 선적증서 또는 등록필증 중 하나와 어선검사증서
ㅇ 비어선 : 선박국적증서와 선박검사증서","['창업지원', '대출', '저소득층', '신혼부부', '장애인']"
수산자원보호 직접지불제,"□ (지원대상) 공모 후 평가를 통해 선발된 강화된 자원보호 의무를 준수하는 연근해어업인
□ (지급요건 등) 총허용어획량 할당 준수를 기본의무로 하고, 선택의무*를 2개 이상 준수토록 함
* 어선감척, 휴어, 생분해성 어구 사용, 해양포유류 혼획 저감장치 부착 등
□ (지원방식) 준수의무 이행에 따른 어업매출 감소 일부 지원
ㅇ (소규모어선직불) 2t 이하의 소규모어선에 지급하되, 소규모어가의 생계보전 차원에서 150만원 정액 지급
ㅇ (톤수비례직불) 2t 초과 어선에 지급하되, 단가는 톤당 65~75만원 수준으로 톤수별 구간에 따라 상이하며 역진적 지급단가*로 구성",2023.01.02~2023.02.10,해양수산부 수산직불제팀/044-200-5453||해양수산부 수산직불제팀/044-200-5452,"□ 사업신청 : : 어업허가 처분권 소재 시‧도 또는 시‧군‧구
▸ 선정신청서 제출시 구비서류
① 직접지불금 입금 통장 사본
② 수산물 판매 영수증 사본 등 어업 생산실적 증명자료(위판실적 등 확인되는 경우는 제출 불필요)
③ 수산자원보호의무 이행계획서(지침 별지 제2호 서식)","인천광역시, 경기도, 충청남도, 전라북도, 전라남도, 경상남도, 부산광역시, 울산광역시, 경상북도, 강원도, 제주특별자치시",현금,"□ 지원 대상
ㅇ 수산자원의 지속가능한 이용을 위하여 휴어 등 강화된 자원보호 의무를 이행하는 어업인등과 「수산업법」제41조에 따라 허가를 받은 「상법」상 회사
□ 제외 대상
ㅇ 신청일 이전 3년 이내에 거짓이나 그 밖의 부정한 방법으로 어업경영체에 등록하거나, 수산자원보호 직접지불금을 수령한 경우
ㅇ 신청일 이전 1년 이내에 거짓이나 그 밖의 부정한 방법으로 수산자원보호 직접지불금을 신청한 경우
ㅇ ｢해양수산부 국고보조금 관리에 관한 규정｣ 제13조제4항 및 제23조제1항의 각호에 해당하는 사람은 선정 및 보조금 교부 제외","□ 지급요건
ㅇ 직불금 신청년도에 수산업·어촌의 공익기능 증진을 위한 관련 교육을 이수할 것(직불금 지급일 이전까지)
ㅇ 직불금 신청년도에 「수산업법」, 「어선법」, 「수산자원관리법」등 수산관계법령을 준수할 것(직불금 지급일 이전까지)
ㅇ 「농어업경영체 육성 및 지원에 관한 법률」 제4조제1항제2호에 따라 어업경영 관련 정보 등을 등록하고, 등록된 어업경영정보의 중요한 사항이 변경된 경우에는 14일 이내에 변경등록을 할 것
ㅇ 직불금 신청일로부터 이행점검 절차 종료일까지 어업허가가 유효할 것
ㅇ 직불금 신청년도에 아래의 준수의무 중 기본의무를 준수함과 동시에 선택의무 2개 이상을 준수(기준 및 준수방법 등은 해양수산부와 사전 협의하여 정할 수 있다)하고, 해당 연도 조업일수가 60일 이상일 것
1. 기본의무 : 총허용어획량 할당 / 「수산자원관리법」제36조
가. 근해어업 : 해양수산부장관 또는 시ㆍ도지사가 정하는 총허용어획량을 할당받아 준수할 것(총허용어획량 시범사업을 통해 할당받아 준수한 경우도 포함)
나. 연안어업 등 : 해양수산부장관 또는 시ㆍ도지사가 정하는 총허용어획량을 할당받아 준수하거나(총허용어획량 시범사업을 통해 할당받아 준수한 경우도 포함), 일일어획량 제한 등 어획량을 규제할 것
2. 선택의무 : 일시적ㆍ자율적 조업중단
가. 업종(근해어업), 지역의 업종(연안어업) 등 수산자원보호 효과를 기대할 수 있는 단위(연안어업의 경우 최소 20척 이상)로 자율 휴어기(최소 1개월 이상)를 설정하여 운영할 것
나. 어선 감척「연근해어업의 구조개선 및 지원에 관한 법률」제9조, 제10조 해당 연도 연근해어업 구조개선 시행계획에 따른 업종별 감척 목표 달성에 적극 협조할 것
다. 생분해성 어구 사용「수산자원관리법」제27조사용하는 어구 중 일부를 생분해성 어구로 대체할 것
라. 해양포유류 혼획저감장치 부착「수산업법」제64조의2 해양포유류 혼획을 저감할 수 있는 장치를 어구에 부착할 것
마. 해양쓰레기 수거 / 조업 중 또는 휴어기간 중 해양쓰레기를 수거할 것
바. 그 밖의 의무 / 그 밖에 어업의 종류별 특성에 맞는 수산자원 및 해양환경 보호 의무를 설정하여 준수할 것
3. 최소조업일수 : 해당 연도에 60일 이상 조업할 것
■ 부정수급자 조치
ㅇ (벌칙) 거짓 또는 부정으로 신청․수령한 경우 1년 이하의 징역 또는 1천만원 이하의 벌금
ㅇ (지급제한) 거짓 또는 부정한 방법으로 신청․수령하거나 지급요건 미충족 또는 준수사항 미이행시 직불금의 전부(또는 일부)를 미지급하고, 3년 이내 범위에서 지급을 제한
- 전부미지급
1. 거짓이나 그 밖의 부정한 방법으로 공익직접지불금을 신청 또는 수령한 경우
2. 공익직접지불금을 수령하기 위해 거짓이나 그 밖의 부정한 방법으로 어업경영체에 등록한 경우
3. 직불금 신청과 관련된 수산자원보호 준수의무를 이행하지 않거나, 당해연도 조업일수가 60일 이하인 경우
4. 관계 공무원 등의 조사등에 성실히 협조하지 않거나 정당한 사유 없이 이를 거부·방해하거나 기피한 경우
5. 착오 또는 경미한 사실로 사실과 다르게 신청하거나 잘못 수령한 경우
6. 어업허가가 유효하지 않은 경우
7. 직불금 신청과 관련된 수산자원보호 준수의무를 이행하지 않거나, 당해연도 조업일수가 60일 이하인 경우
- 1차 위반 시 10퍼센트, 2차 위반 시 20퍼센트, 3차 이상 위반 시 40퍼센트씩 미지급
8. 수산업·어촌의 공익기능 증진을 위한 관련 교육을 미이수한 경우 9.「수산업법」, 「어선법」, 「수산자원관리법」등 수산관계법령 위반한 경우
10.「농어업경영체 육성 및 지원에 관한 법률」제4조제1항제2호에 따라 등록된 어업경영정보의 중요한 사항이 변경된 경우에는 14일 이내에 변경등록을 하지 않은 경우
□ (환수) 부당이득금 전액 환수, 5배 이내의 금액에서 제재부가금 부과
□ (과태료) 조사․열람 등을 거부․방해․기피한 경우 100~300만원, 준수사항 관련 서류 미보관시 10~30만원",,"ㅇ 수산자원보호 직불금을 신청하고자 하는 어업인 등은 본인이 직접 작성하여 서명한 수산자원보호 직접지불금 지급대상자 선정신청서(지침 별지 제1호 서식), 수산자원보호 의무 이행계획서 및 증빙자료(지침 별지 제2호 서식)와 필요 구비서류를 해당 어업허가 처분권 소재 시‧도 또는 시‧군‧구에 제출
▸ 선정신청서 제출시 구비서류
① 직접지불금 입금 통장 사본
② 수산물 판매 영수증 사본 등 어업 생산실적 증명자료(위판실적 등 확인되는 경우는 제출 불필요)
③ 수산자원보호의무 이행계획서(지침 별지 제2호 서식)
ㅇ 수산자원보호 직불금을 신청하고자 하는 어업인 등이 포함된 단체(협회, 단체, 조합 등)는 수산자원보호 직접지불금 지급대상단체 선정신청서(지침 별지 제3호 서식)와 수산자원보호의무 이행 세부계획서(지침 별지 제4호 서식) 각 1부를 해당 어업허가 처분권 소재 시‧도 또는 시‧군‧구에 제출","['수산자원보호', '어업인', '자원보호', '어업매출', '소규모어선', '톤수비례직불']"
"친환경 수산물(배합사료, 인증) 생산지원 직불제 지원","1. 배합사료 , 인증 직불제 : 국비 100%지원",자세한 날짜는 시군구청에 따라 다를수 있음,해양수산부 양식산업과/044-200-5632,"ㅇ 사업관리주체 : 시도 및 시군구
ㅇ 공고시기: 연1회
- 단, 공고시기는 사업주관기관(해양수산부)의 예산확보, 업무 형편에 따라 변경할 수 있다.
ㅇ 신청방법: 시군구에 신청",시·군·구청,현금,"1. 배합사료 직불제: 해양수산부 장관이 지정하는 배합사료를 사용*하는 어업인 및 법인 등
* 배합사료가 급이가 현실적으로 어려운 저수온기 등 예외를 둘 수 있음
2. 인증 직불제: 안전관리인증기준(HACCP) 등록을 받은 자(육상해수양식업 또는 육상 등 내수양식업으로 허가받은 양식업체에 한함)중에서 유기수산물ㆍ무항생제 수산물 인증을 받은 어업인 및 법인 등",지원대상과 동일,,"1. 배합사료 직불제
가. 양식업면허ㆍ허가 정보 등을 확인할 수 있는 서류
나. 「수산업ㆍ어촌 공익기능 증진을 위한 직접지불제도 운영에 관한 법률 시행령」 제9조제3호가목에 따른 배합사료의 사용 여부를 증명할 수 있는 서류
다. 연간 품종별 생산량 및 매출을 증명할 수 있는 서류
2. 인증 직불제
가. 「해양수산부 소관 친환경농어업 육성 및 유기식품 등의 관리·지원에 관한 법률 시행규칙」 제13조에 따른 인증서 사본
나. 「농수산물 품질관리법 시행규칙」 제88조제3항에 따라 발급받은 위해요소중점관리기준 이행시설 등록증 사본
다. 양식업면허ㆍ허가 정보 등을 확인할 수 있는 서류
라. 연간 인증품목 생산량 및 매출을 증명하는 서류","['수산물', '배합사료', '인증', '어업인', '법인', '국비지원']"
원산지검증 대응 지원,"○ 관세청에서 체약상대국의 사후 원산지검증에 대비하여 중소‧중견기업, 소상공인이 원산지관리 능력을 배양할 수 있도록 컨설팅을 신청한 기업에게 자격을 갖춘 민간 컨설턴트를 배정하여 컨설팅 제공(최대 200만원까지 지원)
○ 관세청 FTA 포털 참여기업 모집공고(2025.2.13)
- FTA 포털(customs.go.kr/ftaportalkor/main.do) > FTA 기업지원 > 컨설팅 사업 > 2025년 검증 대응 지원사업",(1차) '25.2.24.~3.7.  (2차) '25.7.10.~7.18.,서울세관 수출입기업지원센터/02-510-1378||부산세관 수출입기업지원센터/051-620-6957||인천세관 수출입기업지원센터/032-452-3639||대구세관 수출입기업지원센터/053-230-5182||광주세관 수출입기업지원센터/062-975-8196||평택세관 통관총괄과/031-8054-7169,컨설팅 희망기업은 지원사업 참여 신청서와 제출서류를 관세청 FTA 포털을 통해 관할 사업세관에 신청·제출,,기타(상담),"○다음 각 호의 어느 하나에 해당하지 않는 중소‧중견기업, 소상공인을 지원 대상함
1. 「독점규제 및 공정거래에 관한 법률」에서 규정하고 있는 상호출자제한기업집단에 속한 기업
2. 검증 컨설팅의 신청일 이전 최근 2년간 관세청, 농림축산식품부, 산업통상자원부 및 지방자치단체의 FTA 컨설팅 수혜기업
3. 검증 컨설팅의 신청일 이전 최근 2년간 관세 또는 국세 체납 실적이 있는 기업","(1순위) 미국으로 수출하는 모든 중소기업
(2순위) 사업세관별 자체 선정기준
※ 우선순위에 따라 선정된 기업에 한해 지원하며, 우선순위 세부내용은 사업공고문 참고",http://customs.go.kr/ftaportalkor/main.do,"(ⅰ) 사업자등록증 사본 1부
(ⅱ) 전년도 매출액 확인자료(결산재무제표, 부가세과세표준증명원 등)
(ⅲ) 정보 활용 동의서
(ⅳ) 원산지증명서를 발급하여 수출한 실적 확인자료(원산지증명서 또는 원산지확인서, 수출신고필증 등)
*단, 소상공인은 원산지증명서 및 원산지확인서 제출 요건 면제(수출실적은 필요)
(v) 그 외 선정 심사에 필요한 관련 서류","['중소‧중견기업', '소상공인', '원산지검증', '컨설팅', 'FTA', '관세청', '민간 컨설턴트']"
취약계층 초등학생 통계교육 지원,"○ 통계기초이론, 통그라미 활용법, 현장조사를 통한 통계포스터 작성 등",접수기관 별 상이,통계청 교육기획과/042-366-6122,통계교육원에서 시·도 교육청 협조를 통해 대상학교(학생) 선정,교육기획과,서비스(돌봄),○ 통계교육 취약계층 초등학교 5~6학년,지원대상과 동일,,해당없음,"['취약계층', '초등학생', '통계교육', '현장조사', '포스터작성']"
